Geo Point;Geo Shape;Nummer;Strasse;Oertlichkeit;Art
47.4260702337,9.37417294216;"{""coordinates"": [9.374172942164407, 47.42607023372341, 46.46385104954243], ""type"": ""Point""}";;;;schwach befahren
47.4258626104,9.37428057828;"{""coordinates"": [9.374280578284862, 47.425862610407094, 46.464278562925756], ""type"": ""Point""}";;;;schwach befahren
47.4133739011,9.36369202554;"{""coordinates"": [9.363692025537185, 47.41337390111104, 46.509111097082496], ""type"": ""Point""}";;Teufener Strasse;;schwach befahren
47.4375885817,9.40294098057;"{""coordinates"": [9.402940980574659, 47.437588581693454, 46.401099398732185], ""type"": ""Point""}";;;;schwach befahren
47.4250917228,9.37411796367;"{""coordinates"": [9.374117963667327, 47.425091722817015, 46.46649651322514], ""type"": ""Point""}";;Poststrasse;;schwach befahren
47.4242639579,9.37182205426;"{""coordinates"": [9.371822054255377, 47.42426395792766, 46.471257221885026], ""type"": ""Point""}";;Poststrasse;;schwach befahren
47.4240106545,9.37399730201;"{""coordinates"": [9.373997302007663, 47.42401065449831, 46.46948620676994], ""type"": ""Point""}";;Oberer Graben;;schwach befahren
47.4097380128,9.31361287399;"{""coordinates"": [9.313612873989403, 47.409738012801924, 46.57464949786663], ""type"": ""Point""}";;Geissbergstrasse;;schwach befahren
47.4219256603,9.36445665287;"{""coordinates"": [9.364456652865359, 47.42192566027716, 46.4856870053336], ""type"": ""Point""}";;Rosenbergstrasse;;schwach befahren
47.4073163714,9.3052448983;"{""coordinates"": [9.30524489830353, 47.40731637139359, 46.59035296179354], ""type"": ""Point""}";;Herisauer Strasse;;schwach befahren
47.4294539767,9.38009663683;"{""coordinates"": [9.380096636825796, 47.42945397670147, 46.44826757349074], ""type"": ""Point""}";517;Scheffelstrasse;Scheffelstrasse / Sonnenstrasse;schwach befahren
47.43256457,9.3909729162;"{""coordinates"": [9.390972916196015, 47.43256456998625, 46.427834472619], ""type"": ""Point""}";;Lindenstrasse;;schwach befahren
47.4074781685,9.30312401831;"{""coordinates"": [9.303124018314485, 47.407478168488055, 46.592285672202706], ""type"": ""Point""}";;;;schwach befahren
47.4227776481,9.36599597262;"{""coordinates"": [9.365995972624294, 47.42277764811083, 46.481712822802365], ""type"": ""Point""}";;Rosenbergstrasse;;schwach befahren
47.4233831873,9.36765817606;"{""coordinates"": [9.367658176062907, 47.42338318731444, 46.47825113218278], ""type"": ""Point""}";;Rosenbergstrasse;;schwach befahren
47.425028774,9.3711991401;"{""coordinates"": [9.371199140096042, 47.42502877403241, 46.469936368986964], ""type"": ""Point""}";;Rosenbergstrasse;;schwach befahren
47.4252048162,9.37135939464;"{""coordinates"": [9.371359394635196, 47.425204816157496, 46.46929182577878], ""type"": ""Point""}";515;;Tellstrasse / Rosenbergsgtrasse;schwach befahren
47.425391329,9.37180992594;"{""coordinates"": [9.371809925940966, 47.425391328977945, 46.46829410549253], ""type"": ""Point""}";;Rosenbergstrasse;;schwach befahren
47.4417628947,9.39314693891;"{""coordinates"": [9.393146938913706, 47.441762894679634, 46.40108126960695], ""type"": ""Point""}";58;Sonnenhaldenstrasse;Sonnenhaldenstrasse 2;schwach befahren
47.4283034198,9.38402572984;"{""coordinates"": [9.384025729840157, 47.42830341981809, 46.44689485244453], ""type"": ""Point""}";;Steinachstrasse;;schwach befahren
47.4380604136,9.3890936153;"{""coordinates"": [9.389093615297265, 47.43806041364297, 46.41542381886393], ""type"": ""Point""}";;Langgasse;;schwach befahren
47.4203786655,9.37079447189;"{""coordinates"": [9.370794471889052, 47.420378665523096, 46.48266612365842], ""type"": ""Point""}";;;;schwach befahren
47.4091300955,9.30380908504;"{""coordinates"": [9.303809085038942, 47.40913009547975, 46.58716578502208], ""type"": ""Point""}";;;;schwach befahren
47.4244206055,9.38150316626;"{""coordinates"": [9.381503166264341, 47.42442060547809, 46.459980187006295], ""type"": ""Point""}";;Linsebühlstrasse;;schwach befahren
47.4078178481,9.3274712561;"{""coordinates"": [9.327471256095864, 47.407817848116075, 46.564266067929566], ""type"": ""Point""}";;Zürcher Strasse;;schwach befahren
47.4081345352,9.32932561509;"{""coordinates"": [9.32932561509095, 47.408134535232506, 46.561361676082015], ""type"": ""Point""}";;Zürcher Strasse;;schwach befahren
47.4131845994,9.33808635252;"{""coordinates"": [9.338086352515857, 47.41318459935863, 46.53825854230672], ""type"": ""Point""}";;Zürcher Strasse;;schwach befahren
47.4150961022,9.34161917857;"{""coordinates"": [9.341619178565818, 47.41509610216849, 46.529267688281834], ""type"": ""Point""}";;Zürcher Strasse;;schwach befahren
47.4179180694,9.35132508797;"{""coordinates"": [9.351325087974093, 47.41791806935409, 46.51096791122109], ""type"": ""Point""}";;Zürcher Strasse;;schwach befahren
47.4075449358,9.32663462654;"{""coordinates"": [9.326634626539441, 47.4075449358279, 46.56591922882944], ""type"": ""Point""}";;;;schwach befahren
47.4308395513,9.39346960224;"{""coordinates"": [9.393469602236372, 47.43083955130773, 46.4295846670866], ""type"": ""Point""}";;Rorschacher Strasse;;schwach befahren
47.4324681693,9.39789560615;"{""coordinates"": [9.397895606145505, 47.43246816930603, 46.420305259525776], ""type"": ""Point""}";;Rorschacher Strasse;;schwach befahren
47.4210868009,9.35759392647;"{""coordinates"": [9.357593926466166, 47.42108680094945, 46.49558798503131], ""type"": ""Point""}";;Feldlistrasse;;schwach befahren
47.4422378062,9.39417399549;"{""coordinates"": [9.394173995486767, 47.44223780622234, 46.39867113623768], ""type"": ""Point""}";;;;schwach befahren
47.4280902628,9.38408980977;"{""coordinates"": [9.384089809774839, 47.428090262775704, 46.44738581869751], ""type"": ""Point""}";;;;schwach befahren
47.4395907227,9.38396947941;"{""coordinates"": [9.383969479413143, 47.439590722653094, 46.41713401116431], ""type"": ""Point""}";52;Sonnenhaldenstrasse;Sonnenhaldenstrasse 54;schwach befahren
47.4377159139,9.40651525366;"{""coordinates"": [9.406515253655803, 47.4377159139101, 46.39673931710422], ""type"": ""Point""}";;Rorschacher Strasse;;schwach befahren
47.4220771215,9.36947043084;"{""coordinates"": [9.369470430841195, 47.42207712149311, 46.47966750897467], ""type"": ""Point""}";;Bahnhofplatz;;schwach befahren
47.4192855945,9.36652593078;"{""coordinates"": [9.36652593078347, 47.4192855944863, 46.490336645394564], ""type"": ""Point""}";;Davidstrasse;;schwach befahren
47.4191177852,9.36961891459;"{""coordinates"": [9.369618914592044, 47.419117785228, 46.487312115728855], ""type"": ""Point""}";;Wassergasse;;schwach befahren
47.4191718051,9.36972833047;"{""coordinates"": [9.369728330466115, 47.4191718050783, 46.48704686574638], ""type"": ""Point""}";;;;schwach befahren
47.4221950192,9.37461071821;"{""coordinates"": [9.374610718205252, 47.42219501916885, 46.473591251298785], ""type"": ""Point""}";110;Gartenstrasse;Gartenstrasse / Oberer Graben;schwach befahren
47.4003960467,9.3005663593;"{""coordinates"": [9.300566359297298, 47.400396046666174, 46.613806338980794], ""type"": ""Point""}";;;;schwach befahren
47.405952893,9.33618415983;"{""coordinates"": [9.336184159829731, 47.40595289302105, 46.559457682073116], ""type"": ""Point""}";162;;"Boppartstr. ; T30-06";schwach befahren
47.4096681126,9.36191678095;"{""coordinates"": [9.361916780948018, 47.409668112578714, 46.52087431401014], ""type"": ""Point""}";168;;"Oberhofstettenstr. 6; T30-18";schwach befahren
47.4166132936,9.37924291761;"{""coordinates"": [9.379242917609368, 47.41661329362508, 46.48312306962907], ""type"": ""Point""}";172;;"Demutstr. 20; T30-19";schwach befahren
47.4166138232,9.38665134551;"{""coordinates"": [9.386651345512686, 47.41661382322404, 46.47480083163828], ""type"": ""Point""}";176;;"Kammelenbergstr./Sonderweg; T30-22a";schwach befahren
47.426739206,9.37269800868;"{""coordinates"": [9.372698008678709, 47.42673920600199, 46.46373881492764], ""type"": ""Point""}";179;;"Zwinglistr. /Knottergässlein; T30-24";schwach befahren
47.4272896089,9.37209260915;"{""coordinates"": [9.372092609145426, 47.42728960885331, 46.46296420134604], ""type"": ""Point""}";180;;"Redingstr. /Knottergässlein; T30-24";schwach befahren
47.4407130932,9.40931652783;"{""coordinates"": [9.409316527828611, 47.44071309323064, 46.385663310065866], ""type"": ""Point""}";194;;"Oberzilstr. 2; T30-39";schwach befahren
47.444125362,9.40366800997;"{""coordinates"": [9.403668009973199, 47.44412536198012, 46.38300151005387], ""type"": ""Point""}";197;;"Kesselhaldenstr. 51; T30-41a";schwach befahren
47.4179889444,9.3812579408;"{""coordinates"": [9.38125794079918, 47.41798894439196, 46.477231023833156], ""type"": ""Point""}";;;;schwach befahren
47.4107455407,9.33495373651;"{""coordinates"": [9.334953736511986, 47.410745540672934, 46.54819191619754], ""type"": ""Point""}";507;;Alpstenstrasse 7 / Kiga;schwach befahren
47.4105204285,9.33602740731;"{""coordinates"": [9.336027407307178, 47.41052042849145, 46.547586711123586], ""type"": ""Point""}";508;;Haggenstrasse 11;schwach befahren
47.4248062708,9.35904438312;"{""coordinates"": [9.359044383118906, 47.424806270833585, 46.48414364270866], ""type"": ""Point""}";535;;Schorenstrasse 22;schwach befahren
47.4128320361,9.35095891219;"{""coordinates"": [9.350958912188867, 47.41283203607509, 46.52479787636548], ""type"": ""Point""}";536;;Ahornstrasse / Oberstrasse 200;schwach befahren
47.4226509052,9.35776444517;"{""coordinates"": [9.357764445169206, 47.42265090521802, 46.49126780964434], ""type"": ""Point""}";34;;Dufourstrasse 155;schwach befahren
47.4310026281,9.4018814117;"{""coordinates"": [9.40188141169808, 47.431002628077366, 46.41969165857881], ""type"": ""Point""}";80;;Flurhofstrasse 150;schwach befahren
47.4436219738,9.41081676294;"{""coordinates"": [9.410816762935589, 47.44362197379476, 46.37628357857466], ""type"": ""Point""}";89;;Zilstrasse 69;schwach befahren
47.4437302228,9.41055266061;"{""coordinates"": [9.410552660610339, 47.443730222814054, 46.37629485875368], ""type"": ""Point""}";90;;Zilstrasse / Brauerstrasse;schwach befahren
47.420276671,9.37196664995;"{""coordinates"": [9.371966649952444, 47.420276671002654, 46.48162074200809], ""type"": ""Point""}";98;;Wassergasse 42;schwach befahren
47.4217667314,9.37374193198;"{""coordinates"": [9.37374193197881, 47.421766731413825, 46.47569643240422], ""type"": ""Point""}";109;;Gartenstrasse 5;schwach befahren
47.4331879865,9.41101221666;"{""coordinates"": [9.411012216658612, 47.4331879864659, 46.403637495823205], ""type"": ""Point""}";9.0;Rehetobelstrasse;Oberhaldenstrasse;stark befahren
47.4331146029,9.40223948696;"{""coordinates"": [9.402239486960074, 47.433114602915964, 46.413710004650056], ""type"": ""Point""}";14.0;Rehetobelstrasse;Falkensteinstrasse;stark befahren
47.4155571852,9.36082873537;"{""coordinates"": [9.360828735370934, 47.41555718519602, 46.506559044122696], ""type"": ""Point""}";23.0;Oberstrasse;Kreuzung Vonwilstr.;stark befahren
47.4185867662,9.36965337126;"{""coordinates"": [9.369653371255128, 47.41858676624256, 46.488674875348806], ""type"": ""Point""}";33.0;Felsenstrasse;Gottfried-Kellerstrasse;stark befahren
47.4162062117,9.38203697729;"{""coordinates"": [9.382036977293907, 47.41620621168819, 46.48105976078659], ""type"": ""Point""}";43.0;St. Georgenstrasse;Kirche;stark befahren
47.4153809742,9.38637653171;"{""coordinates"": [9.386376531708832, 47.41538097416041, 46.478361940942705], ""type"": ""Point""}";45.0;St. Georgenstr. 120;;stark befahren
47.4159183679,9.35455296317;"{""coordinates"": [9.354552963169034, 47.41591836791917, 46.512633013539016], ""type"": ""Point""}";49.0;Fürstenlandstrasse;Burgstrasse;stark befahren
47.4114719561,9.34101153016;"{""coordinates"": [9.341011530156123, 47.41147195610056, 46.53950860258192], ""type"": ""Point""}";54.0;Fürstenlandstrasse;Tagblatt;stark befahren
47.4107147414,9.33733935991;"{""coordinates"": [9.337339359907213, 47.410714741356465, 46.54560880176723], ""type"": ""Point""}";56.0;Fürstenlandstrasse;Volvo Baldegger AG;stark befahren
47.4056145228,9.31562402681;"{""coordinates"": [9.31562402681213, 47.40561452281235, 46.583285490982234], ""type"": ""Point""}";62.0;Kräzernstrasse 75;;stark befahren
47.404818431,9.31205213575;"{""coordinates"": [9.312052135754442, 47.40481843101538, 46.58936353120953], ""type"": ""Point""}";64.0;Kräzernstrasse;Bildweiherstrasse;stark befahren
47.4059576493,9.30492125176;"{""coordinates"": [9.304921251764302, 47.40595764931501, 46.594296837225556], ""type"": ""Point""}";77.0;Bildweiherstrasse;Herisauer Strasse;stark befahren
47.4198996187,9.37460142398;"{""coordinates"": [9.374601423976907, 47.41989961874737, 46.47966031730175], ""type"": ""Point""}";81.0;Gottfried-Keller-Str.;Berneggstrasse;stark befahren
47.4204953087,9.37691817453;"{""coordinates"": [9.37691817453206, 47.42049530868621, 46.475488535128534], ""type"": ""Point""}";82.0;Gottfried-Keller-Str.;Fluhweg;stark befahren
47.4167200393,9.33803802994;"{""coordinates"": [9.338038029942863, 47.41672003930019, 46.52898307796568], ""type"": ""Point""}";88.0;;;stark befahren
47.431158823,9.39699991604;"{""coordinates"": [9.39699991604426, 47.43115882295053, 46.42477137129754], ""type"": ""Point""}";527;;Rehburgstrasse 3;schwach befahren
47.4324870041,9.37797413004;"{""coordinates"": [9.377974130040762, 47.43248700413235, 46.442637412808836], ""type"": ""Point""}";6;Müller-Friedberg-Strasse;Müller-Friedberg-Strasse / Dufourstrasse;schwach befahren
47.4176102096,9.35865084895;"{""coordinates"": [9.358650848946612, 47.41761020960383, 46.503580778837204], ""type"": ""Point""}";;Vonwilstrasse;;schwach befahren
47.4167874606,9.36380282948;"{""coordinates"": [9.363802829483646, 47.41678746062119, 46.49998087994754], ""type"": ""Point""}";514;Ruhbergstrasse;Ruhbergstrasse 1;schwach befahren
47.4225553918,9.3706400653;"{""coordinates"": [9.370640065298229, 47.422555391758195, 46.47709347400814], ""type"": ""Point""}";;Gutenbergstrasse;;schwach befahren
47.4246545437,9.36864931185;"{""coordinates"": [9.368649311849936, 47.42465454365845, 46.47378334868699], ""type"": ""Point""}";;;;schwach befahren
47.4370077791,9.37714104367;"{""coordinates"": [9.377141043673012, 47.43700777914037, 46.43162563163787], ""type"": ""Point""}";;;;schwach befahren
47.4118550072,9.36658877733;"{""coordinates"": [9.366588777329959, 47.41185500715156, 46.509870851412416], ""type"": ""Point""}";513;Demutstrasse;Demutstrasse 2;schwach befahren
47.4368061038,9.38401074487;"{""coordinates"": [9.384010744874548, 47.43680610382126, 46.4244481138885], ""type"": ""Point""}";61;Gerhaldenstrasse;Gerhaldenstrasse / Lessingstrasse;schwach befahren
47.4359205798,9.3943122564;"{""coordinates"": [9.394312256399488, 47.435920579810244, 46.41521359793842], ""type"": ""Point""}";67;Bachstrasse;Bachstrasse / Spinnereistrasse;schwach befahren
47.428270388,9.3760406893;"{""coordinates"": [9.376040689295143, 47.42827038804217, 46.455945366062224], ""type"": ""Point""}";;Unterer Graben;;schwach befahren
47.421966066,9.37111338899;"{""coordinates"": [9.371113388988231, 47.4219660660493, 46.478118418715894], ""type"": ""Point""}";;;;schwach befahren
47.4369442942,9.40499482266;"{""coordinates"": [9.404994822661328, 47.43694429419344, 46.40049016941339], ""type"": ""Point""}";;Lukasstrasse;;schwach befahren
47.4377393674,9.4029771054;"{""coordinates"": [9.402977105404162, 47.437739367369986, 46.400660258717835], ""type"": ""Point""}";;Lukasstrasse;;schwach befahren
47.4161251183,9.34492786684;"{""coordinates"": [9.344927866836825, 47.41612511826153, 46.52285406179726], ""type"": ""Point""}";;;;schwach befahren
47.4281550789,9.3722933527;"{""coordinates"": [9.372293352704576, 47.42815507885314, 46.46045331284404], ""type"": ""Point""}";45;Winkelriedstrasse;Winkelriedstrasse 62;schwach befahren
47.4261537686,9.37022400744;"{""coordinates"": [9.370224007441507, 47.426153768583, 46.468059096485376], ""type"": ""Point""}";42;Winkelriedstrasse;Winkelriedstrasse / Telltreppe;schwach befahren
47.4257768107,9.3697575109;"{""coordinates"": [9.369757510902723, 47.42577681070675, 46.46957755833864], ""type"": ""Point""}";41;Winkelriedstrasse;Winkelriedstrasse 27;schwach befahren
47.4238172032,9.37345389011;"{""coordinates"": [9.37345389011204, 47.42381720322572, 46.470606511458755], ""type"": ""Point""}";;St.Leonhard-Strasse;;schwach befahren
47.4211413182,9.36753819078;"{""coordinates"": [9.367538190782414, 47.42114131815039, 46.4843039419502], ""type"": ""Point""}";;St.Leonhard-Strasse;;schwach befahren
47.4260238865,9.37512436306;"{""coordinates"": [9.375124363057205, 47.4260238864954, 46.462906119413674], ""type"": ""Point""}";;Marktplatz;;schwach befahren
47.4263680801,9.37600009325;"{""coordinates"": [9.37600009324938, 47.42636808005676, 46.461014710366726], ""type"": ""Point""}";;Marktplatz;;schwach befahren
47.4200860852,9.36867694867;"{""coordinates"": [9.36867694866657, 47.42008608515155, 46.4858126565814], ""type"": ""Point""}";;Davidstrasse;;schwach befahren
47.4212818848,9.37171645035;"{""coordinates"": [9.371716450347845, 47.42128188480242, 46.47924812324345], ""type"": ""Point""}";106;Davidstrasse;Davidstrasse 1;schwach befahren
47.4202697918,9.36640454221;"{""coordinates"": [9.36640454220873, 47.42026979179427, 46.487875058315694], ""type"": ""Point""}";;St.Leonhard-Strasse;;schwach befahren
47.4186685113,9.36657128411;"{""coordinates"": [9.366571284111284, 47.418668511269935, 46.491914393380284], ""type"": ""Point""}";;Geltenwilenstrasse;;schwach befahren
47.4191656449,9.36637379582;"{""coordinates"": [9.36637379581684, 47.41916564490022, 46.490823737345636], ""type"": ""Point""}";;Geltenwilenstrasse;;schwach befahren
47.4287664102,9.38396006197;"{""coordinates"": [9.383960061965185, 47.428766410223915, 46.44574583880603], ""type"": ""Point""}";518;Parkstrasse;Parkstrasse / Steinachstrasse;schwach befahren
47.4277301418,9.38443901636;"{""coordinates"": [9.384439016357195, 47.42773014178973, 46.447944653220475], ""type"": ""Point""}";;;;schwach befahren
47.4380187794,9.41952865043;"{""coordinates"": [9.419528650430482, 47.438018779421355, 46.38127491623163], ""type"": ""Point""}";;Tablatstrasse;;schwach befahren
47.4366091852,9.40821610684;"{""coordinates"": [9.40821610684393, 47.43660918518348, 46.39774855785072], ""type"": ""Point""}";83;Martinsbruggstrasse;Martinsbruggstrasse 22;schwach befahren
47.4378621831,9.38051210541;"{""coordinates"": [9.380512105409329, 47.43786218311972, 46.42558445781469], ""type"": ""Point""}";12;Peter-und-Paul-Strasse;Peter-und-Paul-Strasse 27;schwach befahren
47.4244964339,9.36837721293;"{""coordinates"": [9.36837721292568, 47.424496433867255, 46.47450584731996], ""type"": ""Point""}";37;Winkelriedstrasse;Winkelriedstrasse 12;schwach befahren
47.4092973464,9.34243366004;"{""coordinates"": [9.342433660041362, 47.40929734640489, 46.54365516919643], ""type"": ""Point""}";544;Hechtackerstrasse;Hechtackerstr. Bernhardswiesstr.;schwach befahren
47.4081622752,9.33926567949;"{""coordinates"": [9.339265679489014, 47.408162275173524, 46.550189044326544], ""type"": ""Point""}";;;;schwach befahren
47.4073974314,9.33791054688;"{""coordinates"": [9.337910546876955, 47.407397431440266, 46.5537200672552], ""type"": ""Point""}";;Hechtackerstrasse;;schwach befahren
47.4072281904,9.33795913032;"{""coordinates"": [9.337959130320462, 47.40722819036614, 46.5541120916605], ""type"": ""Point""}";512;;Haggenhaldenstrasse 2;schwach befahren
47.4300151465,9.39249608818;"{""coordinates"": [9.392496088175282, 47.43001514648262, 46.43285659700632], ""type"": ""Point""}";74;Grossackerstrasse;Grossackerstrasse 6;schwach befahren
47.4047862715,9.31273428191;"{""coordinates"": [9.312734281914075, 47.40478627146687, 46.58868863340467], ""type"": ""Point""}";501;Sturzeneggstrasse;Sturzeneggstrasse / Kräzernstrasse;schwach befahren
47.413504794,9.34775658061;"{""coordinates"": [9.34775658061271, 47.41350479395627, 46.52660517208278], ""type"": ""Point""}";537;Ahornstrasse;Ahornstrasse / Fürstenlandstrasse;schwach befahren
47.4205198466,9.3723208018;"{""coordinates"": [9.372320801800734, 47.420519846570826, 46.480581698939204], ""type"": ""Point""}";99;Schochengasse;Schochengasse 6;schwach befahren
47.4353235327,9.39545610805;"{""coordinates"": [9.39545610805132, 47.43532353266565, 46.41550510376692], ""type"": ""Point""}";69;Spinnereistrasse;Spinnereistrasse / Unt. Lindentalstrasse;schwach befahren
47.4371781572,9.3950169719;"{""coordinates"": [9.39501697190275, 47.43717815718916, 46.4110979354009], ""type"": ""Point""}";;Spinnereistrasse;;schwach befahren
47.4155448557,9.36522020122;"{""coordinates"": [9.36522020121915, 47.41554485573799, 46.501671209931374], ""type"": ""Point""}";;Teufener Strasse;;schwach befahren
47.4143531279,9.36371616363;"{""coordinates"": [9.363716163625357, 47.41435312791476, 46.50650081317872], ""type"": ""Point""}";;Teufener Strasse;;schwach befahren
47.4127814555,9.36412492053;"{""coordinates"": [9.364124920525954, 47.412781455495235, 46.5101887723431], ""type"": ""Point""}";;SolitÃ¼denstrasse;;schwach befahren
47.4114487629,9.36652678352;"{""coordinates"": [9.36652678351805, 47.411448762919306, 46.51101180166006], ""type"": ""Point""}";;Teufener Strasse;;schwach befahren
47.4072091171,9.36948308375;"{""coordinates"": [9.369483083752288, 47.40720911710013, 46.5188765283674], ""type"": ""Point""}";;Teufener Strasse;;schwach befahren
47.4221159528,9.35572332917;"{""coordinates"": [9.35572332916986, 47.422115952812604, 46.49496505316347], ""type"": ""Point""}";;Feldlistrasse;;schwach befahren
47.424323648,9.37197099649;"{""coordinates"": [9.37197099648572, 47.42432364797922, 46.47093258891255], ""type"": ""Point""}";;Poststrasse;;schwach befahren
47.4237271544,9.37404703389;"{""coordinates"": [9.374047033888795, 47.42372715437245, 46.47017889749259], ""type"": ""Point""}";114;Oberer Graben;Oberer Graben / UBS;schwach befahren
47.4235098969,9.37411455843;"{""coordinates"": [9.374114558430641, 47.42350989685277, 46.47067672479898], ""type"": ""Point""}";113;Oberer Graben;Oberer Graben / Globus;schwach befahren
47.404417018,9.30292342744;"{""coordinates"": [9.302923427438321, 47.40441701797861, 46.600582550279796], ""type"": ""Point""}";18;Herisauer Strasse;Herisauer Strasse 57;schwach befahren
47.4145138108,9.31241470352;"{""coordinates"": [9.312414703522396, 47.41451381082492, 46.563381866551936], ""type"": ""Point""}";;Gaiserwaldstrasse;;schwach befahren
47.4350159468,9.39565730426;"{""coordinates"": [9.395657304261919, 47.43501594679557, 46.41609159205109], ""type"": ""Point""}";;A1 Südliche Fahrbahn;;schwach befahren
47.4249005866,9.3872426948;"{""coordinates"": [9.387242694800655, 47.42490058658262, 46.45226644631475], ""type"": ""Point""}";;Speicherstrasse;;schwach befahren
47.4256054864,9.39248332986;"{""coordinates"": [9.392483329863932, 47.42560548635391, 46.44451534003019], ""type"": ""Point""}";;Speicherstrasse;;schwach befahren
47.4261059229,9.39517409097;"{""coordinates"": [9.395174090974493, 47.426105922861915, 46.44016844872385], ""type"": ""Point""}";;Speicherstrasse;;schwach befahren
47.424533871,9.38406946318;"{""coordinates"": [9.384069463177697, 47.42453387100081, 46.456799287348986], ""type"": ""Point""}";;Speicherstrasse;;schwach befahren
47.4393718422,9.38583264219;"{""coordinates"": [9.38583264219394, 47.43937184224359, 46.415620408952236], ""type"": ""Point""}";;;;schwach befahren
47.439489781,9.3860094676;"{""coordinates"": [9.386009467596674, 47.43948978100332, 46.41511004883796], ""type"": ""Point""}";;Sonnenhaldenstrasse;;schwach befahren
47.4331182975,9.37416781852;"{""coordinates"": [9.374167818521448, 47.43311829752023, 46.445239605382085], ""type"": ""Point""}";;Guisanstrasse;Guisanstrasse 21;schwach befahren
47.4197825038,9.37113070649;"{""coordinates"": [9.37113070649026, 47.419782503771785, 46.48386252298951], ""type"": ""Point""}";97;Wassergasse;Wassergasse 53;schwach befahren
47.4307470281,9.38505202533;"{""coordinates"": [9.385052025331628, 47.43074702805392, 46.439288101159036], ""type"": ""Point""}";;Steinachstrasse;;schwach befahren
47.4337706311,9.38411436336;"{""coordinates"": [9.38411436336088, 47.433770631129676, 46.432353211566806], ""type"": ""Point""}";;Langgasse;;schwach befahren
47.4223539284,9.34859047208;"{""coordinates"": [9.348590472079021, 47.422353928361346, 46.502316984348], ""type"": ""Point""}";;St.Josefen-Strasse;;schwach befahren
47.4265063805,9.38269212185;"{""coordinates"": [9.382692121852218, 47.42650638053125, 46.453138020820916], ""type"": ""Point""}";;;;schwach befahren
47.424730284,9.38108931545;"{""coordinates"": [9.381089315453345, 47.424730284046916, 46.459627248346806], ""type"": ""Point""}";126;Lämmlisbrunnenstrasse;Lämmlisbrunnenstrasse 18;schwach befahren
47.411287607,9.33406026822;"{""coordinates"": [9.334060268216152, 47.411287607023816, 46.547759600915015], ""type"": ""Point""}";;Zürcher Strasse;;schwach befahren
47.4165604267,9.34835725679;"{""coordinates"": [9.348357256787468, 47.416560426670685, 46.51787066552788], ""type"": ""Point""}";;Zürcher Strasse;;schwach befahren
47.4198139917,9.35523544264;"{""coordinates"": [9.355235442638579, 47.41981399165675, 46.501587990671396], ""type"": ""Point""}";;Zürcher Strasse;;schwach befahren
47.4173086491,9.35002666765;"{""coordinates"": [9.350026667646974, 47.417308649079, 46.51402881741524], ""type"": ""Point""}";;Zürcher Strasse;;schwach befahren
47.4389054614,9.40842030337;"{""coordinates"": [9.408420303367464, 47.438905461401035, 46.391450395807624], ""type"": ""Point""}";;Rorschacher Strasse;;schwach befahren
47.4350820448,9.40233785741;"{""coordinates"": [9.402337857407383, 47.43508204478622, 46.40840150043368], ""type"": ""Point""}";;Rorschacher Strasse;;schwach befahren
47.4267205597,9.37369403116;"{""coordinates"": [9.373694031158687, 47.42672055974943, 46.4626709157601], ""type"": ""Point""}";;Rosenbergstrasse;;schwach befahren
47.4234304374,9.3726450107;"{""coordinates"": [9.37264501069798, 47.42343043737398, 46.47253488842398], ""type"": ""Point""}";;Schützengasse;;schwach befahren
47.4348277162,9.38500649717;"{""coordinates"": [9.385006497166325, 47.43482771619002, 46.42855817545205], ""type"": ""Point""}";;Gerhaldenstrasse;;schwach befahren
47.4213476102,9.37188067455;"{""coordinates"": [9.371880674554777, 47.42134761023335, 46.478890454396605], ""type"": ""Point""}";104;Teufener Strasse;Teufener Strasse 1;schwach befahren
47.4284820567,9.38421197722;"{""coordinates"": [9.384211977221506, 47.428482056658005, 46.44621390942484], ""type"": ""Point""}";520;;Volksbadatr. / Steinachstr;schwach befahren
47.432723001,9.37806763455;"{""coordinates"": [9.378067634553043, 47.43272300096164, 46.44190896488726], ""type"": ""Point""}";7;Tannenstrasse;Müller-Friedberg-Strasse 36;schwach befahren
47.428335379,9.3724044356;"{""coordinates"": [9.372404435600751, 47.428335379013525, 46.459852531552315], ""type"": ""Point""}";46;;Winkelriedstrasse 68;schwach befahren
47.4256124433,9.36962909001;"{""coordinates"": [9.369629090010264, 47.42561244325831, 46.47015557345003], ""type"": ""Point""}";39;Winkelriedstrasse;Zwinglistrasse 21;schwach befahren
47.4316128578,9.39676133101;"{""coordinates"": [9.396761331005822, 47.43161285783731, 46.42384043894708], ""type"": ""Point""}";529;;Rehburgstr. / Rorschacher Str. (EKZ Grossacker);schwach befahren
47.415576842,9.36537787741;"{""coordinates"": [9.365377877406445, 47.41557684198209, 46.50141010247171], ""type"": ""Point""}";;;;schwach befahren
47.4015935422,9.30111144143;"{""coordinates"": [9.301111441434939, 47.401593542224056, 46.610043046996], ""type"": ""Point""}";;;;schwach befahren
47.4033056437,9.33122631813;"{""coordinates"": [9.331226318130179, 47.40330564368132, 46.571973332203925], ""type"": ""Point""}";159;;"Wolfgangstr. 52; T30-05a";schwach befahren
47.4192693579,9.35630554709;"{""coordinates"": [9.35630554708595, 47.419269357887316, 46.50182773824781], ""type"": ""Point""}";;;;schwach befahren
