Geo Point;Geo Shape;Behinderte Grad;Kategorie;Bezeichnung;Zusatz;Adressezusatz;Firma;Vorname;Name;Adresse;Ort;Land;Öffnungszeiten;Information;Behinderte Info;Telefon;Mobil;Fax;PLZ
47.43540185587424,9.387197292988082;"{""coordinates"": [9.387197292988082, 47.43540185587424], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Farbgutstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 1;;;;;9008
47.436741270186126,9.388756493301162;"{""coordinates"": [9.388756493301162, 47.436741270186126], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Beatusstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 1;;;;;9008
47.43792903622524,9.392753815596654;"{""coordinates"": [9.392753815596654, 47.43792903622524], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Kolosseumstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 3;;;;;9008
47.43168770759768,9.393149268166196;"{""coordinates"": [9.393149268166196, 47.43168770759768], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Fidesstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 11;;;;;9000
47.441908801633616,9.375947512790425;"{""coordinates"": [9.375947512790425, 47.441908801633616], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Schlatterstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 2;;;;;9010
47.407637218271304,9.331203097615898;"{""coordinates"": [9.331203097615898, 47.407637218271304], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Stationsstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 6;;;;;9014
47.43767820119234,9.381719723065293;"{""coordinates"": [9.381719723065293, 47.43767820119234], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Hölderlinstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 5;;;;;9008
47.41269009472061,9.36566145246885;"{""coordinates"": [9.36566145246885, 47.41269009472061], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Nestweiherstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 2;;;;;9012
47.43206052892754,9.403713001039963;"{""coordinates"": [9.403713001039963, 47.43206052892754], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Flurhofstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 2;;;;;9000
47.419680096689454,9.3742370802336;"{""coordinates"": [9.3742370802336, 47.419680096689454], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Berneggstrasse;St.Gallen;Schweiz;;Erweiterte Blaue Zone: 9;;;;;9000
47.41112262406693,9.333390208579468;"{""coordinates"": [9.333390208579468, 47.41112262406693], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Zürcher Strasse;St.Gallen;Schweiz;;Weiss (bewirtschaftet): 2;;;;;9014
47.411033531844566,9.333107813640929;"{""coordinates"": [9.333107813640929, 47.411033531844566], ""type"": ""Point""}";;Parkplätze, Parkhäuser;;;;;;;Zürcher Strasse;St.Gallen;Schweiz;;Weiss (bewirtschaftet): 2;;;;;9014
47.44600698004618,9.395351148822842;"{""coordinates"": [9.395351148822842, 47.44600698004618], ""type"": ""Point""}";unbekannt;Aus- und Weiterbildung;obvita Ostschweizerischer Blindenfürsorgeverein (OBV);;Postfach;;;;Bruggwaldstrasse 37b;St.Gallen;Schweiz;;;;+41712466111;;;9009
47.41205276576918,9.368013897620003;"{""coordinates"": [9.368013897620003, 47.41205276576918], ""type"": ""Point""}";unbekannt;Aus- und Weiterbildung;GBS Schule für Gestaltung - Demutstrasse;;;;;;Demutstrasse 115;St.Gallen;Schweiz;;;;+41712265630;;;9012
47.42530469651329,9.364495944035724;"{""coordinates"": [9.364495944035724, 47.42530469651329], ""type"": ""Point""}";unbekannt;Aus- und Weiterbildung;Institut auf dem Rosenberg;;;;;;Höhenweg 60;St.Gallen;Schweiz;;;;+41712777777;;;9000
47.437425647440456,9.40223857931591;"{""coordinates"": [9.40223857931591, 47.437425647440456], ""type"": ""Point""}";unbekannt;Aus- und Weiterbildung;KS Kaderschulen;;Postfach 251;;;;Lindenstrasse 139;St.Gallen;Schweiz;;;;+41712824343;;;9016
47.4302430888311,9.382236044282694;"{""coordinates"": [9.382236044282694, 47.4302430888311], ""type"": ""Point""}";unbekannt;Aus- und Weiterbildung;Pädagogische Hochschule St.Gallen;;;;;;Notkerstrasse 27;St.Gallen;Schweiz;;;;+41712439400;;;9000
47.4505438971278,9.421385423574213;"{""coordinates"": [9.421385423574213, 47.4505438971278], ""type"": ""Point""}";unbekannt;Aus- und Weiterbildung;Rudolf Steiner Schule St.Gallen;;;;;;Rorschacher Strasse 312;St.Gallen;Schweiz;;;;+41712823010;;;9016
47.422756489809366,9.377103430823228;"{""coordinates"": [9.377103430823228, 47.422756489809366], ""type"": ""Point""}";unbekannt;Aus- und Weiterbildung;Katholische KantonssekundarschuleKKSS;;;;;;Klosterhof 6c;St.Gallen;Schweiz;;;;+41712273390;;;9000
47.42329075702084,9.373438333098811;"{""coordinates"": [9.373438333098811, 47.42329075702084], ""type"": ""Point""}";unbekannt;Aus- und Weiterbildung;STF Schweizerische Textilfachschule;;;;;;Vadianstrasse 2;St.Gallen;Schweiz;;;;+41719876840;;;9000
47.43029923612772,9.389388466570107;"{""coordinates"": [9.389388466570107, 47.43029923612772], ""type"": ""Point""}";unbekannt;Aus- und Weiterbildung;Deutschschweizer Schule für Orthoptik St.Gallen;;;;;;Kantonsspital;St.Gallen;Schweiz;;;;+41714942837;;;9007
47.43488169488781,9.384128310443364;"{""coordinates"": [9.384128310443364, 47.43488169488781], ""type"": ""Point""}";unbekannt;Aus- und Weiterbildung;Kammermusik-Schule;;;;;;Dufourstrasse 7;St.Gallen;Schweiz;;;;+41712452410;;;9008
47.42377055108747,9.352643511413103;"{""coordinates"": [9.352643511413103, 47.42377055108747], ""type"": ""Point""}";;Friedhöfe;Krematorium;;;;;;Hätterenstrasse 10;St.Gallen;Schweiz;;;;+41712775121;;;9000
47.41169369405445,9.330920942204653;"{""coordinates"": [9.330920942204653, 47.41169369405445], ""type"": ""Point""}";unbekannt;Kindergärten;Kindergarten Austrasse;;;;;;Austrasse 11;St.Gallen;Schweiz;;;;+41714992098;;;9014
47.40383712314009,9.341393111098778;"{""coordinates"": [9.341393111098778, 47.40383712314009], ""type"": ""Point""}";unbekannt;Kindergärten;Kindergarten Haselstrasse;;;;;;Haselstrasse 20;St.Gallen;Schweiz;;;;+41714992015;;;9014
47.409322141706426,9.337794457485682;"{""coordinates"": [9.337794457485682, 47.409322141706426], ""type"": ""Point""}";unbekannt;Kindergärten;Kindergarten Moosstrasse;;;;;;Moosstrasse 57b;St.Gallen;Schweiz;;;;+41714992099;;;9014
47.429787373978506,9.392072320702239;"{""coordinates"": [9.392072320702239, 47.429787373978506], ""type"": ""Point""}";unbekannt;Kindergärten;Kindergarten Falkensteinstrasse 8;;;;;;Falkensteinstrasse 8;St.Gallen;Schweiz;;;;+41714992136;;;9000
47.42914550780238,9.396764439758243;"{""coordinates"": [9.396764439758243, 47.42914550780238], ""type"": ""Point""}";unbekannt;Kindergärten;Kindergarten Flurhofstrasse;;;;;;Flurhofstrasse 74;St.Gallen;Schweiz;;;;+41714992137;;;9000
47.43797377525658,9.390429039445094;"{""coordinates"": [9.390429039445094, 47.43797377525658], ""type"": ""Point""}";unbekannt;Kindergärten;Kindergarten Güetlistrasse I;;;;;;Güetlistrasse 6;St.Gallen;Schweiz;;;;+41714992075;;;9008
47.432672533999344,9.40287999015668;"{""coordinates"": [9.40287999015668, 47.432672533999344], ""type"": ""Point""}";unbekannt;Kindergärten;Kindergarten Rappensteinweg;;;;;;Rappensteinweg 5;St.Gallen;Schweiz;;;;+41714992138;;;9000
47.414647823668886,9.398994904800297;"{""coordinates"": [9.398994904800297, 47.414647823668886], ""type"": ""Point""}";unbekannt;Kindergärten;Kindergarten St. Georgen-Strasse I;;;;;;St.Georgen-Strasse 215;St.Gallen;Schweiz;;;;;;;9011
47.423915064968284,9.373870928626568;"{""coordinates"": [9.373870928626568, 47.423915064968284], ""type"": ""Point""}";unbekannt;Historische Objekte;Broderbrunnen;;;;;;St. Leonhard-Strasse;St.Gallen;Schweiz;;;;;;;9000
47.42628379306742,9.377532563327122;"{""coordinates"": [9.377532563327122, 47.42628379306742], ""type"": ""Point""}";hindernisfrei;Historische Objekte;Waaghaus;;Waaghaus;;;;Bohl 14;St.Gallen;Schweiz;;;Treppenlift, keine hindernisfreie ToiletteWC;;;;9000
47.423672673071096,9.37291645579994;"{""coordinates"": [9.37291645579994, 47.423672673071096], ""type"": ""Point""}";hindernisfrei;Restaurant;La Taverna;;Pizzeria;;;;St.Leonhard-Strasse 12;St.Gallen;Schweiz;;;keine Rollstuhl-Toilette vorhanden;;;;9000
47.42572441408504,9.375568836025296;"{""coordinates"": [9.375568836025296, 47.42572441408504], ""type"": ""Point""}";nicht behindertengerecht;Restaurant;Marktplatz;;;;;;Neugasse 2;St.Gallen;Schweiz;;;Mangelhafte Handläufe, aber Möglichkeit, internen Lift von Personal anzufordern;;;;9000
47.426591345726216,9.37682105920766;"{""coordinates"": [9.37682105920766, 47.426591345726216], ""type"": ""Point""}";;Restaurant;McDonald's Markt am Bohl;;;;;;Bohl 9;St.Gallen;Schweiz;;;;;;;9000
47.431176027476724,9.39630271420726;"{""coordinates"": [9.39630271420726, 47.431176027476724], ""type"": ""Point""}";;Restaurant;la bocca;;Grossacker-Zentrum;;;;Rorschacher Strasse 154;St.Gallen;Schweiz;;;;;;;9000
47.411918847271174,9.364962570872652;"{""coordinates"": [9.364962570872652, 47.411918847271174], ""type"": ""Point""}";hindernisfrei;Religiöse Bauten;Kirche evang. Riethüsli;;;;;;Gerhardtstrasse 11;St.Gallen;Schweiz;;;hindernisfreie Toilette;+41712771230;;;9012
47.430452065293935,9.396092942849668;"{""coordinates"": [9.396092942849668, 47.430452065293935], ""type"": ""Point""}";hindernisfrei;Religiöse Bauten;Kirche evang. St. Fiden;;;;;;Claudiusstrasse 11;St.Gallen;Schweiz;;;hindernisfreie Toilette;+41712448123;;;9000
47.402210301369216,9.302254619208313;"{""coordinates"": [9.302254619208313, 47.402210301369216], ""type"": ""Point""}";hindernisfrei;Religiöse Bauten;Kirche kath. Winkeln;;Pfarramt;;;;Herisauer Strasse 75;St.Gallen;Schweiz;;;Rollstuhlgängige Toilette vorhanden;+41713114505;;;9015
47.417104215425155,9.359905505881235;"{""coordinates"": [9.359905505881235, 47.417104215425155], ""type"": ""Point""}";bedingt behindertengerecht;Religiöse Bauten;St. Otmar - Kirche;;;;;;Vonwilstrasse 10;St.Gallen;Schweiz;;439 öffentliche Parkplätze;"Schwelle von 4 cm; Rollstuhl-WC im Pfarrheim vorhanden";;;;9000
47.432526371725125,9.375027954193909;"{""coordinates"": [9.375027954193909, 47.432526371725125], ""type"": ""Point""}";hindernisfrei;Kulturelles;Bibliothek Universität (HSG);;;;;;Dufourstrasse 50;St.Gallen;Schweiz;;360 öffentliche Parkplätze;;+41712242270;;;9000
47.41993730301699,9.367831399028448;"{""coordinates"": [9.367831399028448, 47.41993730301699], ""type"": ""Point""}";bedingt behindertengerecht;Kulturelles;Kunsthalle;;;;;;Davidstrasse 40;St.Gallen;Schweiz;;;;+41712221014;;;9000
47.42468991624069,9.376839860204136;"{""coordinates"": [9.376839860204136, 47.42468991624069], ""type"": ""Point""}";nicht behindertengerecht;Kulturelles;Spieldosenkabinett;;;Labhart Goldschmiede & Uhrmacher;;;Marktgasse 23;St.Gallen;Schweiz;;;Der Laden selbst ist zwar rollstuhlgängig, das Spieldosenkabinett aber nicht.;+41712225060;;;9004
47.42353547654027,9.378525153887024;"{""coordinates"": [9.378525153887024, 47.42353547654027], ""type"": ""Point""}";bedingt behindertengerecht;Kulturelles;Stiftsarchiv;;Regierungsgebäude;;;;Klosterhof 3;St.Gallen;Schweiz;;;;+41712293111;;;9001
47.42265194907737,9.37651479764742;"{""coordinates"": [9.37651479764742, 47.42265194907737], ""type"": ""Point""}";hindernisfrei;Kulturelles;Stiftsbibliothek und Lapidarium;;;;;;Klosterhof 6d;St.Gallen;Schweiz;;;Kasse und Eingangsbereich sind problemlos, Eingang zur Stiftsbibliothek hat eine Schwelle, gibt jedoch eine Rampe, welche vom Personal aufgestellt werden kann;+41712273415;;;9000
47.42405215445122,9.370614768023614;"{""coordinates"": [9.370614768023614, 47.42405215445122], ""type"": ""Point""}";hindernisfrei;Stadtverwaltung;AHV-Zweigstelle St.Gallen;;Rathaus;;;;Poststrasse 28;St.Gallen;Schweiz;;;"Lift mit Sprachausgabe; hindernisfreie Toilette";+41712245744;;;9001
47.4262375779889,9.377693336532516;"{""coordinates"": [9.377693336532516, 47.4262375779889], ""type"": ""Point""}";hindernisfrei;Stadtverwaltung;Ausstellungssaal Waaghaus;;Waaghaus;;;;Bohl 14;St.Gallen;Schweiz;;;Treppenlift, keine hindernisfreie Toilette;+41712245501;;;9000
47.42532684191481,9.37543258717347;"{""coordinates"": [9.37543258717347, 47.42532684191481], ""type"": ""Point""}";hindernisfrei;Stadtverwaltung;Amt für Baubewilligungen;;Amtshaus;;;;Neugasse 3;St.Gallen;Schweiz;;;Lift mit Sprachausgabe. Personen mit Rollstuhl bitte Eingang Marktgasse benutzen. WC hindernisfrei;+41712245841;;;9004
47.421241921484565,9.372035446213749;"{""coordinates"": [9.372035446213749, 47.421241921484565], ""type"": ""Point""}";bedingt behindertengerecht;Kantonale Verwaltung;Berufs-, Studien- und Laufbahnberatung;;;;;;Teufener Strasse 1/3;St.Gallen;Schweiz;;;Hintereingang via Warenlift mit Voranmeldung;+41582297211;;;9001
47.4200954156184,9.367173686025815;"{""coordinates"": [9.367173686025815, 47.4200954156184], ""type"": ""Point""}";;Stadtverwaltung;Fundbüro;;;;;;Vadianstrasse 57;St.Gallen;Schweiz;;;;+41712246015;;;9001
47.42593864922151,9.37761126726917;"{""coordinates"": [9.37761126726917, 47.42593864922151], ""type"": ""Point""}";hindernisfrei;Stadtverwaltung;Soziale Dienste Sozialhilfe;;;;;;Brühlgasse 1;St.Gallen;Schweiz;;;WC hindernisfrei;+41712245037;;;9004
47.4200954156184,9.367173686025815;"{""coordinates"": [9.367173686025815, 47.4200954156184], ""type"": ""Point""}";;Stadtverwaltung;Gewerbepolizei;;;;;;Vadianstrasse 57;St.Gallen;Schweiz;;;;+41712246000;;;9001
47.41574730216552,9.33284962060134;"{""coordinates"": [9.33284962060134, 47.41574730216552], ""type"": ""Point""}";;Stadtverwaltung;Kehrichtheizkraftwerk;;;;;;Rechenwaldstrasse 30;St.Gallen;Schweiz;;;;+41712743111;;;9014
47.41537715148649,9.33208261052475;"{""coordinates"": [9.33208261052475, 47.41537715148649], ""type"": ""Point""}";;Stadtverwaltung;ARA Au;;;;;;Rechenwaldstrasse 32;St.Gallen;Schweiz;;;;+41712726000;;;9014
47.42395696137776,9.370761001200247;"{""coordinates"": [9.370761001200247, 47.42395696137776], ""type"": ""Point""}";;Stadtverwaltung;Personaldienste;;Rathaus;;;;Poststrasse 28;St.Gallen;Schweiz;;;;+41712245415;;;9001
47.42532684191481,9.37543258717347;"{""coordinates"": [9.37543258717347, 47.42532684191481], ""type"": ""Point""}";hindernisfrei;Stadtverwaltung;Direktion Soziales und Sicherheit;;Amtshaus;;;;Neugasse 3;St.Gallen;Schweiz;;;Lift mit Sprachausgabe. Personen mit Rollstuhl bitte Eingang Marktgasse benutzen. WC hindernisfrei;+41712245736;;;9004
47.42395696137776,9.370761001200247;"{""coordinates"": [9.370761001200247, 47.42395696137776], ""type"": ""Point""}";hindernisfrei;Stadtverwaltung;Schlichtungsstelle für Mietverhältnisse;;Rathaus;;;;Poststrasse 28;St.Gallen;Schweiz;;;"Lift mit Sprachausgabe; hindernisfreie Toilette";+41712245628;;;9001
47.42395696137776,9.370761001200247;"{""coordinates"": [9.370761001200247, 47.42395696137776], ""type"": ""Point""}";;Stadtverwaltung;Sektionschef;;Rathaus;;;;Poststrasse 28;St.Gallen;Schweiz;;;;+41712245356;;;9001
47.42509301420103,9.375229262041914;"{""coordinates"": [9.375229262041914, 47.42509301420103], ""type"": ""Point""}";;Stadtverwaltung;Sport;;Amtshaus;;;;Neugasse 25;St.Gallen;Schweiz;;;;+41712245348;;;9004
47.424032851435385,9.3707067580856;"{""coordinates"": [9.3707067580856, 47.424032851435385], ""type"": ""Point""}";;Stadtverwaltung;Stadtkanzlei;;Rathaus;;;;Poststrasse 28;St.Gallen;Schweiz;;;;+41712245325;;;9001
47.42532684191481,9.37543258717347;"{""coordinates"": [9.37543258717347, 47.42532684191481], ""type"": ""Point""}";bedingt behindertengerecht;Stadtverwaltung;Geomatik und Vermessung;;Amtshaus;;;;Neugasse 3;St.Gallen;Schweiz;;;Lifttüre 80 cm breit;+41712245259;;;9004
47.42532684191481,9.37543258717347;"{""coordinates"": [9.37543258717347, 47.42532684191481], ""type"": ""Point""}";hindernisfrei;Stadtverwaltung;Vermittleramt;;Amtshaus;;;;Neugasse 3;St.Gallen;Schweiz;;;"Lift mit Sprachausgabe; Personen mit Rollstuhl bitte Eingang Marktplatz benutzen.";+41712245115;;;9004
47.41822852483679,9.35952700206616;"{""coordinates"": [9.35952700206616, 47.41822852483679], ""type"": ""Point""}";;Kantonale Verwaltung;Amt für Militär und Zivilschutz;;;;;;Burgstrasse 50;St.Gallen;Schweiz;;;;+41582297111;;;9000
47.41822852483679,9.35952700206616;"{""coordinates"": [9.35952700206616, 47.41822852483679], ""type"": ""Point""}";;Kantonale Verwaltung;Kreiskommando St.Gallen;;;;;;Burgstrasse 50;St.Gallen;Schweiz;;;;+41582297111;;;9000
47.4196242830356,9.367725355511642;"{""coordinates"": [9.367725355511642, 47.4196242830356], ""type"": ""Point""}";;Kantonale Verwaltung;Amt für Natur, Jagd und Fischerei;;;;;;Davidstrasse 35;St.Gallen;Schweiz;;;;+41582293953;;;9000
47.42371185897822,9.378288293059194;"{""coordinates"": [9.378288293059194, 47.42371185897822], ""type"": ""Point""}";;Kantonale Verwaltung;Materialzentrale;;Regierungsgebäude;;;;Klosterhof 3;St.Gallen;Schweiz;;;;+41582293324;;;9001
47.423935231443764,9.377443392907184;"{""coordinates"": [9.377443392907184, 47.423935231443764], ""type"": ""Point""}";bedingt behindertengerecht;Kantonale Verwaltung;Kantonsgericht;;Regierungsgebäude;;;;Klosterhof 1;St.Gallen;Schweiz;;;keine behindertengerechte Toilette;+41582293241;;;9001
47.42456722081263,9.378930666287534;"{""coordinates"": [9.378930666287534, 47.42456722081263], ""type"": ""Point""}";bedingt behindertengerecht;Kantonale Verwaltung;Amt für Soziales;;;;;;Spisergasse 41;St.Gallen;Schweiz;Mo - Fr: 8:00 - 11:30 Uhr, 14:00 - 17:00 Uhr;;Mit mobilen Rampen möglich, Voranmeldung notwendig;+41582293318;;;9000
47.42487385958273,9.37773375052038;"{""coordinates"": [9.37773375052038, 47.42487385958273], ""type"": ""Point""}";bedingt behindertengerecht;Kantonale Verwaltung;Staatsanwaltschaft /Kantonales Untersuchungsamt;;;;;;Spisergasse 15;St.Gallen;Schweiz;;;keine behindertengerechte Toilette;+41582293340;;;9000
47.4261415657537,9.382845946596206;"{""coordinates"": [9.382845946596206, 47.4261415657537], ""type"": ""Point""}";;Kantonale Verwaltung;Hochbauamt (Kanton);;;;;;Lämmlisbrunnenstrasse 54;St.Gallen;Schweiz;;;;+41582293017;;;9001
47.42929141394856,9.386778125944124;"{""coordinates"": [9.386778125944124, 47.42929141394856], ""type"": ""Point""}";;Kantonale Verwaltung;Zentrum für Labormedizin (ZLM);;Postfach 1217;;;;Frohbergstrasse 3;St.Gallen;Schweiz;;;;+41714943700;;;9001
47.41643888045339,9.381957449379208;"{""coordinates"": [9.381957449379208, 47.41643888045339], ""type"": ""Point""}";hindernisfrei;Restaurant;Adler;;;;;;St.Georgen-Strasse 84;St.Gallen;Schweiz;;;Saal mit Treppenlift und WC hindernisfrei, Radballhalle über Rampe Tiefgarage mit Hilfe zugänglich;;;;9000
47.426556739478706,9.374737612791082;"{""coordinates"": [9.374737612791082, 47.426556739478706], ""type"": ""Point""}";;Restaurant;La Vigna;;;;;;Engelgasse 12;St.Gallen;Schweiz;;;;;;;9000
47.42630517030442,9.382166285518387;"{""coordinates"": [9.382166285518387, 47.42630517030442], ""type"": ""Point""}";;Restaurant;Bierhof;;;;;;Rorschacher Strasse 34;St.Gallen;Schweiz;;;;;;;9000
47.40872135427289,9.381538433730183;"{""coordinates"": [9.381538433730183, 47.40872135427289], ""type"": ""Point""}";bedingt behindertengerecht;Restaurant;Unterer Brand;;;;;;Brandstrasse 40;St.Gallen;Schweiz;;;Toilette ist nicht behindertengerecht.;;;;9011
47.40476014181428,9.303154300705083;"{""coordinates"": [9.303154300705083, 47.40476014181428], ""type"": ""Point""}";;Restaurant;Brückenwaage;;;;;;Herisauer Strasse 54;St.Gallen;Schweiz;;;;;;;9015
47.42443260323779,9.380214578576409;"{""coordinates"": [9.380214578576409, 47.42443260323779], ""type"": ""Point""}";;Restaurant;g'nuss;;;;;;Lämmlisbrunnenstrasse 4;St.Gallen;Schweiz;;;;;;;9000
47.42715233341063,9.383730473632328;"{""coordinates"": [9.383730473632328, 47.42715233341063], ""type"": ""Point""}";;Restaurant;China-Town;;;;;;Rorschacher Strasse 50a;St.Gallen;Schweiz;;;;;;;9000
47.42571962937042,9.385203625272542;"{""coordinates"": [9.385203625272542, 47.42571962937042], ""type"": ""Point""}";;Restaurant;Why Not;;;;;;Linsebühlstrasse 96;St.Gallen;Schweiz;;;;;;;9000
47.43091957661166,9.394854408001686;"{""coordinates"": [9.394854408001686, 47.43091957661166], ""type"": ""Point""}";;Restaurant;Terronia Gusto & Musica;;;;;;Rorschacher Strasse 150;St.Gallen;Schweiz;;;;;;;9006
47.420446249301115,9.372716656126707;"{""coordinates"": [9.372716656126707, 47.420446249301115], ""type"": ""Point""}";;Bar, Dancing, Disco;El Miguel;;Bar/Café;;;;Haldenstrasse 1;St.Gallen;Schweiz;;;;;;;9000
47.42755432112252,9.377517371865675;"{""coordinates"": [9.377517371865675, 47.42755432112252], ""type"": ""Point""}";hindernisfrei;Restaurant;OYA;;;;;;Schwertgasse 27;St.Gallen;Schweiz;;;Behindertengerechte Toilette ist vorhanden.;;;;9000
47.431858266834396,9.381692814622076;"{""coordinates"": [9.381692814622076, 47.431858266834396], ""type"": ""Point""}";;Restaurant;Vin Kebab Pizza;;;;;;St.Jakob-Strasse 71;St.Gallen;Schweiz;;;;;;;9000
47.40040152839647,9.320975390358685;"{""coordinates"": [9.320975390358685, 47.40040152839647], ""type"": ""Point""}";;Restaurant;Amici;;;;;;Sturzeneggstrasse 80;St.Gallen;Schweiz;;;;;;;9015
47.4258772866597,9.377758972554105;"{""coordinates"": [9.377758972554105, 47.4258772866597], ""type"": ""Point""}";bedingt behindertengerecht;Bar, Dancing, Disco;The Irish Pub Brühltor;;;;;;Brühlgasse 11;St.Gallen;Schweiz;;;Keine behindertengerechte Toilette. Toilette nur über Treppe erreichbar.;;;;9000
47.43051173057768,9.391241171556056;"{""coordinates"": [9.391241171556056, 47.43051173057768], ""type"": ""Point""}";;Restaurant;Hirschen;;;;;;Rorschacher Strasse 109;St.Gallen;Schweiz;;;;;;;9000
47.430586879513726,9.383478303837514;"{""coordinates"": [9.383478303837514, 47.430586879513726], ""type"": ""Point""}";;Restaurant;Hirschgarten;;;;;;Brühlbleichestrasse 12;St.Gallen;Schweiz;;;;;;;9000
47.43184092831623,9.387742271610566;"{""coordinates"": [9.387742271610566, 47.43184092831623], ""type"": ""Point""}";;Restaurant;Zia Rosa casa due;;Pizzeria;;;;Lindenstrasse 21;St.Gallen;Schweiz;;;;;;;9000
47.424639340819894,9.382127107028518;"{""coordinates"": [9.382127107028518, 47.424639340819894], ""type"": ""Point""}";;Bar, Dancing, Disco;Prinz;;;;;;Linsebühlstrasse 37/39;St.Gallen;Schweiz;;;;;;;9000
47.43075564615061,9.393618020086658;"{""coordinates"": [9.393618020086658, 47.43075564615061], ""type"": ""Point""}";;Restaurant;Olive Food + Drink;;;;;;Rorschacher Strasse 124;St.Gallen;Schweiz;;;;;;;9000
47.42363214063398,9.371757838594819;"{""coordinates"": [9.371757838594819, 47.42363214063398], ""type"": ""Point""}";;Restaurant;Ban Sri Thai;;;;;;Merkurstrasse 2;St.Gallen;Schweiz;;;;;;;9000
47.43612546028916,9.39332187976185;"{""coordinates"": [9.39332187976185, 47.43612546028916], ""type"": ""Point""}";;Restaurant;Metro Pizza;;Pizzeria;;;;Bucheggstrasse 5;St.Gallen;Schweiz;;;;;;;9008
47.4371463000192,9.377641084225743;"{""coordinates"": [9.377641084225743, 47.4371463000192], ""type"": ""Point""}";;Restaurant;Hof Rotmonten;;;;;;Guisanstrasse 62;St.Gallen;Schweiz;;;;;;;9010
47.43602222779571,9.392170359681828;"{""coordinates"": [9.392170359681828, 47.43602222779571], ""type"": ""Point""}";;Restaurant;Schweizerbund Salento;;;;;;Heimatstrasse 27;St.Gallen;Schweiz;;;;;;;9008
47.42448667646357,9.379256716287017;"{""coordinates"": [9.379256716287017, 47.42448667646357], ""type"": ""Point""}";;Restaurant;Spisertörli;;Restaurant/Café;;;;Spisergasse 43;St.Gallen;Schweiz;;;;;;;9000
47.411501088407,9.335136413456407;"{""coordinates"": [9.335136413456407, 47.411501088407], ""type"": ""Point""}";;Bar, Dancing, Disco;Tell Oldies Pub;;;;;;Zürcher Strasse 211;St.Gallen;Schweiz;;;;;;;9014
47.42797423335278,9.377122457081143;"{""coordinates"": [9.377122457081143, 47.42797423335278], ""type"": ""Point""}";;Restaurant;Kostas der Grieche;;;;;;Goliathgasse 37;St.Gallen;Schweiz;;;;;;;9000
47.42579783349385,9.377954261823811;"{""coordinates"": [9.377954261823811, 47.42579783349385], ""type"": ""Point""}";hindernisfrei;Bar, Dancing, Disco;Trischli Club;;;;;;Brühlgasse 15;St.Gallen;Schweiz;;;Behindertengerechte Toilette vorhanden.;;;;9000
47.42588799107759,9.37477977206366;"{""coordinates"": [9.37477977206366, 47.42588799107759], ""type"": ""Point""}";;Restaurant;Blumenmarkt;;Café Bar;;;;Marktplatz 25;St.Gallen;Schweiz;;;;;;;9000
47.41786643422718,9.359542978598828;"{""coordinates"": [9.359542978598828, 47.41786643422718], ""type"": ""Point""}";;Restaurant;Amici;;;;;;Grenzstrasse 2;St.Gallen;Schweiz;;;;;;;9000
47.427291352689245,9.374593457260136;"{""coordinates"": [9.374593457260136, 47.427291352689245], ""type"": ""Point""}";;Restaurant;August;;Restaurant/Bar;;;;Augustinergasse 31;St.Gallen;Schweiz;;102 öffentliche Parkplätze;;;;;9000
47.42647365345309,9.392199451359188;"{""coordinates"": [9.392199451359188, 47.42647365345309], ""type"": ""Point""}";nicht behindertengerecht;Hotel;SJH Jugendherberge;;;;;;Jüchstrasse 25;St.Gallen;Schweiz;;Anzahl: 1;;+41712454777;;;9000
47.423979474821316,9.37138869547008;"{""coordinates"": [9.37138869547008, 47.423979474821316], ""type"": ""Point""}";bedingt behindertengerecht;Hotel;Walhalla;;;;;;Poststrasse 27;St.Gallen;Schweiz;;Anzahl: 1;keine rollstuhltaugliche Zimmer, öffentliches Rollstuhl-WC, Lift, Rezeption sowie Eingang gut mit dem Rollstuhl erreichbar;;;;9001
47.425605504594714,9.378035415081285;"{""coordinates"": [9.378035415081285, 47.425605504594714], ""type"": ""Point""}";;Bar, Dancing, Disco;VIBEZ;;Café/Restaurant;;;;Brühlgasse 19;St.Gallen;Schweiz;;Anzahl: 1;;;;;9000
